symptoms,disease
"blurred vision, fatigue, areas of darkened skin, numbness or tingling in the hands or feet, increased thirst, frequent urination, increased hunger",Diabetes Type 2
"severe headache, sudden high fever, pain behind eyes, mild bleeding, severe joint and muscle pain, nausea, skin rash, vomiting",Dengue
"elevated blood cholesterol, hoarseness, muscle aches, slowed heart rate, heavy or irregular menstrual periods",Hypothyroidism
"constipation, weight gain",Hypothyroidism
"headache, rash, prolonged fever, loss of appetite, sweating, weight loss, fatigue, dry cough, weakness, muscle ache",Typhoid
"chills, fatigue, measured high fever, loss of appetite, body ache, headache",Viral Fever
runny or stuffy nose,Common Cold
"weakness, shortness of breath, irregular heartbeats, cold hands and feet, dizziness or lightheadedness, chest pain, headache, pale or yellowish skin",Anemia
"pale or yellowish skin, headache, dizziness or lightheadedness, weakness, fatigue, chest pain, irregular heartbeats, cold hands and feet, shortness of breath",Anemia
"muscle ache, fatigue",Typhoid
"diarrhea, headache, abdominal pain, nausea",Malaria
"tenderness and stiffness, hoarseness, weight gain, depression, increased sensitivity to cold, muscle weakness, dry skin, slowed heart rate",Hypothyroidism
"vomiting, nausea, skin rash, sudden high fever",Dengue
"pain, stiffness or swelling in your joints, constipation, hoarseness, slowed heart rate, impaired memory, muscle aches, thinning hair, puffy face, increased sensitivity to cold, dry skin, fatigue, weight gain, heavy or irregular menstrual periods, tenderness and stiffness, muscle weakness, depression",Hypothyroidism
pale or yellowish skin,Anemia
"sweating, nausea, abdominal pain, vomiting, diarrhea, headache, fever with shaking chills, muscle pain, anemia",Malaria
"vomiting, severe joint and muscle pain, pain behind eyes, skin rash, nausea, fatigue",Dengue
"frequent infections, slow-healing sores, increased thirst",Diabetes Type 2
nausea,Malaria
"headache, fatigue, pale or yellowish skin",Anemia
"sudden high fever, nausea, vomiting, skin rash",Dengue
"sweating, fever with shaking chills, anemia, muscle pain, diarrhea, nausea",Malaria
"weakness, irregular heartbeats",Anemia
"hoarseness, impaired memory, tenderness and stiffness, muscle weakness, pain, stiffness or swelling in your joints, dry skin, elevated blood cholesterol, heavy or irregular menstrual periods, increased sensitivity to cold, slowed heart rate",Hypothyroidism
"severe headache, pain behind eyes, nausea",Dengue
"slowed heart rate, puffy face, increased sensitivity to cold, fatigue, elevated blood cholesterol, thinning hair, heavy or irregular menstrual periods, muscle weakness, hoarseness, depression, pain, stiffness or swelling in your joints, muscle aches, tenderness and stiffness",Hypothyroidism
"weakness, dry cough, weight loss, prolonged fever, fatigue, diarrhea or constipation, muscle ache, sweating, abdominal pain, rash, loss of appetite, headache",Typhoid
"slow-healing sores, areas of darkened skin, increased thirst, frequent urination, increased hunger, blurred vision, frequent infections, unintended weight loss, fatigue, numbness or tingling in the hands or feet",Diabetes Type 2
"abdominal pain, nausea",Malaria
"headache, diarrhea",Malaria
"increased sensitivity to cold, weight gain, heavy or irregular menstrual periods, muscle aches, dry skin, impaired memory, puffy face, slowed heart rate, hoarseness, depression, muscle weakness, tenderness and stiffness",Hypothyroidism
weakness,Viral Fever
"rash, loss of appetite",Typhoid
"tenderness and stiffness, increased sensitivity to cold, weight gain, heavy or irregular menstrual periods, puffy face",Hypothyroidism
"increased hunger, increased thirst",Diabetes Type 2
"body ache, headache, fatigue, chills, measured high fever",Viral Fever
"loss of appetite, fatigue, weakness, chills, body ache, headache, measured high fever",Viral Fever
"fatigue, diarrhea or constipation, muscle ache, prolonged fever, loss of appetite, sweating, dry cough",Typhoid
"loss of appetite, fatigue, body ache, measured high fever, chills, headache, weakness",Viral Fever
"sneezing, slight body aches",Common Cold
"mild headache, slight body aches, congestion, sneezing, low-grade fever, cough, malaise",Common Cold
"nausea, skin rash, severe headache, pain behind eyes, fatigue, vomiting",Dengue
"diarrhea, abdominal pain, anemia, vomiting, fever with shaking chills",Malaria
"blurred vision, unintended weight loss, increased thirst, slow-healing sores",Diabetes Type 2
"chills, weakness, body ache, headache, measured high fever, loss of appetite",Viral Fever
"fever with shaking chills, headache",Malaria
"mild bleeding, severe joint and muscle pain, vomiting, fatigue, skin rash",Dengue
fatigue,Viral Fever
"thinning hair, hoarseness, impaired memory, constipation, muscle weakness, increased sensitivity to cold, weight gain, depression, dry skin, muscle aches, heavy or irregular menstrual periods, puffy face, slowed heart rate, fatigue, tenderness and stiffness",Hypothyroidism
"body ache, fatigue, headache, chills, measured high fever, weakness, loss of appetite",Viral Fever
"diarrhea or constipation, weakness, sweating, prolonged fever, loss of appetite, dry cough",Typhoid
"anemia, vomiting, diarrhea",Malaria
"increased sensitivity to cold, elevated blood cholesterol, slowed heart rate, tenderness and stiffness, muscle aches, pain, stiffness or swelling in your joints, constipation, puffy face, depression, weight gain, impaired memory, muscle weakness, fatigue, heavy or irregular menstrual periods, hoarseness",Hypothyroidism
"headache, fatigue, pale or yellowish skin, irregular heartbeats, weakness, dizziness or lightheadedness, chest pain, cold hands and feet",Anemia
"depression, hoarseness",Hypothyroidism
"headache, anemia, sweating, fever with shaking chills, vomiting, abdominal pain",Malaria
"loss of appetite, chills, weakness",Viral Fever
"fatigue, loss of appetite, rash, sweating, weakness, abdominal pain, headache, muscle ache, diarrhea or constipation, dry cough, weight loss",Typhoid
"fatigue, chills, weakness, body ache, measured high fever",Viral Fever
"mild headache, slight body aches, runny or stuffy nose, cough, malaise, sneezing, sore throat",Common Cold
weakness,Anemia
"malaise, cough, mild headache, congestion, runny or stuffy nose, slight body aches, sore throat",Common Cold
"mild bleeding, severe joint and muscle pain",Dengue
"weight gain, thinning hair",Hypothyroidism
"frequent infections, increased thirst, areas of darkened skin, frequent urination, slow-healing sores, unintended weight loss, fatigue, increased hunger, blurred vision",Diabetes Type 2
"heavy or irregular menstrual periods, tenderness and stiffness, elevated blood cholesterol, constipation",Hypothyroidism
"pain behind eyes, skin rash",Dengue
"numbness or tingling in the hands or feet, areas of darkened skin, frequent infections, unintended weight loss",Diabetes Type 2
severe headache,Dengue
"slight body aches, mild headache, sore throat, sneezing",Common Cold
"irregular heartbeats, weakness, shortness of breath, chest pain, cold hands and feet",Anemia
frequent urination,Diabetes Type 2
"loss of appetite, weakness, measured high fever, headache, fatigue, body ache, chills",Viral Fever
sneezing,Common Cold
"sweating, vomiting, muscle pain, diarrhea, fever with shaking chills, abdominal pain, anemia, nausea",Malaria
"pain behind eyes, nausea",Dengue
"weight gain, thinning hair, tenderness and stiffness, elevated blood cholesterol, puffy face, hoarseness, muscle weakness, fatigue, constipation, heavy or irregular menstrual periods, pain, stiffness or swelling in your joints, slowed heart rate, increased sensitivity to cold, muscle aches, depression",Hypothyroidism
"abdominal pain, dry cough, weakness, fatigue, prolonged fever, sweating, headache",Typhoid
"vomiting, nausea, sudden high fever, fatigue, pain behind eyes, mild bleeding, severe headache",Dengue
sudden high fever,Dengue
"tenderness and stiffness, impaired memory, heavy or irregular menstrual periods, pain, stiffness or swelling in your joints, muscle aches, dry skin, increased sensitivity to cold, depression, slowed heart rate, hoarseness, puffy face, thinning hair, constipation, fatigue, elevated blood cholesterol, weight gain",Hypothyroidism
"increased thirst, increased hunger",Diabetes Type 2
"frequent urination, frequent infections, slow-healing sores, increased hunger, blurred vision, increased thirst",Diabetes Type 2
"headache, weakness, body ache",Viral Fever
"mild bleeding, nausea, sudden high fever",Dengue
"abdominal pain, diarrhea or constipation, dry cough, muscle ache, prolonged fever, sweating, rash",Typhoid
"slow-healing sores, frequent infections, blurred vision, frequent urination, numbness or tingling in the hands or feet, increased thirst",Diabetes Type 2
"dry skin, constipation, hoarseness, heavy or irregular menstrual periods, fatigue, muscle aches, pain, stiffness or swelling in your joints, elevated blood cholesterol, depression",Hypothyroidism
"frequent urination, increased hunger, areas of darkened skin, frequent infections, slow-healing sores, unintended weight loss, numbness or tingling in the hands or feet, blurred vision, increased thirst, fatigue",Diabetes Type 2
sore throat,Common Cold
"increased sensitivity to cold, muscle weakness, constipation, hoarseness, tenderness and stiffness",Hypothyroidism
"fatigue, headache, diarrhea or constipation, loss of appetite, muscle ache, dry cough, weight loss, sweating, rash, weakness, abdominal pain, prolonged fever",Typhoid
"weakness, fatigue, abdominal pain",Typhoid
"fatigue, nausea, sudden high fever, mild bleeding",Dengue
"fever with shaking chills, muscle pain, abdominal pain, anemia, diarrhea, sweating, vomiting, nausea, headache",Malaria
"vomiting, fever with shaking chills, sweating, muscle pain",Malaria
"anemia, abdominal pain, nausea",Malaria
"measured high fever, chills, weakness, loss of appetite, headache, fatigue",Viral Fever
"sneezing, congestion, sore throat, mild headache",Common Cold
"heavy or irregular menstrual periods, depression, thinning hair, weight gain, muscle weakness, fatigue, dry skin, tenderness and stiffness, puffy face, impaired memory, slowed heart rate, elevated blood cholesterol",Hypothyroidism
"headache, sweating, rash, weakness, abdominal pain, prolonged fever, muscle ache, dry cough, fatigue, weight loss, diarrhea or constipation",Typhoid
"dry skin, slowed heart rate, thinning hair, hoarseness, muscle aches, constipation, impaired memory, heavy or irregular menstrual periods, muscle weakness, weight gain, depression, fatigue, increased sensitivity to cold, pain, stiffness or swelling in your joints",Hypothyroidism
"diarrhea, headache, muscle pain, fever with shaking chills, abdominal pain, nausea",Malaria
"headache, cold hands and feet, irregular heartbeats, fatigue, weakness, dizziness or lightheadedness",Anemia
"chest pain, shortness of breath",Anemia
"muscle ache, fatigue, dry cough, diarrhea or constipation, sweating",Typhoid
"weight gain, puffy face, tenderness and stiffness, muscle aches, heavy or irregular menstrual periods",Hypothyroidism
"increased sensitivity to cold, impaired memory, fatigue, constipation, thinning hair",Hypothyroidism
weakness,Anemia
"cough, low-grade fever, sore throat, mild headache",Common Cold
"cough, mild headache, congestion, low-grade fever",Common Cold
fatigue,Typhoid
"fatigue, muscle weakness, heavy or irregular menstrual periods, impaired memory, slowed heart rate, depression, tenderness and stiffness",Hypothyroidism
"measured high fever, body ache, loss of appetite, weakness, chills, headache, fatigue",Viral Fever
"cold hands and feet, chest pain, pale or yellowish skin, irregular heartbeats, dizziness or lightheadedness, weakness, shortness of breath",Anemia
"headache, chills, measured high fever, weakness, loss of appetite, body ache, fatigue",Viral Fever
"severe headache, skin rash, pain behind eyes, sudden high fever, severe joint and muscle pain, fatigue, mild bleeding, nausea, vomiting",Dengue
"nausea, abdominal pain, muscle pain, vomiting, diarrhea, headache, fever with shaking chills, sweating",Malaria
"fatigue, weakness, pale or yellowish skin",Anemia
"muscle ache, rash, headache",Typhoid
"chills, measured high fever, fatigue, loss of appetite, headache, body ache",Viral Fever
"abdominal pain, weakness, sweating",Typhoid
"chills, weakness",Viral Fever
"diarrhea, muscle pain, anemia, sweating, headache, abdominal pain, nausea",Malaria
"severe headache, fatigue, nausea, skin rash, vomiting",Dengue
"malaise, runny or stuffy nose, congestion, mild headache",Common Cold
"sneezing, malaise",Common Cold
"fatigue, numbness or tingling in the hands or feet, slow-healing sores, areas of darkened skin",Diabetes Type 2
body ache,Viral Fever
"abdominal pain, weakness, fatigue, dry cough, headache",Typhoid
"fatigue, blurred vision, increased hunger, slow-healing sores, increased thirst",Diabetes Type 2
"sweating, headache, vomiting, muscle pain, fever with shaking chills, anemia, abdominal pain, nausea, diarrhea",Malaria
"muscle pain, fever with shaking chills, sweating, anemia, headache, vomiting, nausea",Malaria
"sweating, muscle pain, fever with shaking chills, nausea, anemia, headache, abdominal pain",Malaria
"shortness of breath, chest pain, cold hands and feet, fatigue, pale or yellowish skin, weakness, headache",Anemia
"skin rash, sudden high fever, severe joint and muscle pain, fatigue, severe headache, mild bleeding, pain behind eyes, nausea",Dengue
"loss of appetite, weight loss, muscle ache, weakness, rash",Typhoid
"depression, pain, stiffness or swelling in your joints, muscle weakness, elevated blood cholesterol, weight gain, slowed heart rate, dry skin, fatigue, impaired memory, puffy face, hoarseness, thinning hair, tenderness and stiffness, constipation",Hypothyroidism
"pain behind eyes, skin rash, nausea",Dengue
"headache, fatigue, body ache, weakness, chills",Viral Fever
"slowed heart rate, puffy face, fatigue, muscle weakness, hoarseness, depression, constipation, impaired memory, increased sensitivity to cold, weight gain, tenderness and stiffness, elevated blood cholesterol, muscle aches, dry skin, heavy or irregular menstrual periods",Hypothyroidism
"pain, stiffness or swelling in your joints, weight gain, puffy face, muscle weakness, elevated blood cholesterol, fatigue",Hypothyroidism
"prolonged fever, sweating, loss of appetite, dry cough",Typhoid
"fatigue, loss of appetite, rash, dry cough, weight loss, abdominal pain, headache, sweating, weakness, diarrhea or constipation, prolonged fever",Typhoid
"nausea, sudden high fever, vomiting",Dengue
"fatigue, rash, weight loss, weakness, loss of appetite, diarrhea or constipation, dry cough, muscle ache, sweating",Typhoid
"slow-healing sores, frequent infections, increased thirst, blurred vision",Diabetes Type 2
"increased thirst, areas of darkened skin, increased hunger, numbness or tingling in the hands or feet, frequent infections, blurred vision, slow-healing sores, frequent urination, fatigue, unintended weight loss",Diabetes Type 2
"malaise, sore throat, low-grade fever, mild headache, congestion, cough, sneezing",Common Cold
"headache, chills",Viral Fever
"malaise, runny or stuffy nose, sore throat, slight body aches",Common Cold
"measured high fever, headache, fatigue, body ache, weakness, chills, loss of appetite",Viral Fever
fever with shaking chills,Malaria
"prolonged fever, sweating, muscle ache, headache, fatigue, rash, weakness, abdominal pain",Typhoid
"loss of appetite, weakness, prolonged fever",Typhoid
"pale or yellowish skin, chest pain",Anemia
rash,Typhoid
"pale or yellowish skin, irregular heartbeats, fatigue, dizziness or lightheadedness, headache, cold hands and feet, shortness of breath, chest pain, weakness",Anemia
increased thirst,Diabetes Type 2
"severe joint and muscle pain, skin rash, severe headache, sudden high fever, pain behind eyes, fatigue, mild bleeding, vomiting",Dengue
"fatigue, areas of darkened skin",Diabetes Type 2
"vomiting, fatigue, mild bleeding, severe joint and muscle pain, nausea, skin rash, sudden high fever, pain behind eyes",Dengue
"headache, prolonged fever, diarrhea or constipation, loss of appetite, weight loss, weakness",Typhoid
pale or yellowish skin,Anemia
"measured high fever, weakness, loss of appetite",Viral Fever
"nausea, skin rash, severe headache, vomiting, mild bleeding, pain behind eyes, sudden high fever, fatigue",Dengue
"increased sensitivity to cold, thinning hair, hoarseness, elevated blood cholesterol, tenderness and stiffness, fatigue, heavy or irregular menstrual periods, depression, impaired memory, constipation, dry skin, puffy face, slowed heart rate, muscle weakness, weight gain, pain, stiffness or swelling in your joints, muscle aches",Hypothyroidism
"shortness of breath, dizziness or lightheadedness, chest pain, cold hands and feet, pale or yellowish skin, irregular heartbeats",Anemia
"increased thirst, slow-healing sores, frequent infections, numbness or tingling in the hands or feet, frequent urination",Diabetes Type 2
"sneezing, congestion, cough",Common Cold
"slowed heart rate, fatigue, weight gain, muscle aches, dry skin, elevated blood cholesterol",Hypothyroidism
"weakness, muscle ache, sweating, rash, weight loss, headache, diarrhea or constipation, prolonged fever",Typhoid
"congestion, low-grade fever, sore throat, malaise, slight body aches, sneezing, cough, mild headache, runny or stuffy nose",Common Cold
"chills, loss of appetite, measured high fever, weakness, body ache, headache",Viral Fever
"headache, fatigue",Viral Fever
"areas of darkened skin, frequent urination, fatigue, unintended weight loss, increased hunger, increased thirst, numbness or tingling in the hands or feet, slow-healing sores, frequent infections, blurred vision",Diabetes Type 2
"headache, loss of appetite, rash, abdominal pain, weight loss, prolonged fever, dry cough, muscle ache, diarrhea or constipation, weakness, fatigue, sweating",Typhoid
"sneezing, mild headache, low-grade fever, sore throat, congestion, slight body aches",Common Cold
"mild headache, malaise, congestion, slight body aches, runny or stuffy nose",Common Cold
"fatigue, dry cough, abdominal pain, loss of appetite, headache, rash, weakness, diarrhea or constipation, weight loss, sweating, muscle ache, prolonged fever",Typhoid
"unintended weight loss, increased hunger, increased thirst, fatigue, slow-healing sores, areas of darkened skin",Diabetes Type 2
"weakness, loss of appetite, measured high fever, body ache",Viral Fever
"sweating, weight loss, headache, abdominal pain, prolonged fever, muscle ache",Typhoid
"fatigue, increased thirst, increased hunger, unintended weight loss, frequent urination, blurred vision, frequent infections, slow-healing sores",Diabetes Type 2
chest pain,Anemia
"shortness of breath, dizziness or lightheadedness",Anemia
"headache, measured high fever",Viral Fever
"frequent urination, increased hunger, unintended weight loss, slow-healing sores, numbness or tingling in the hands or feet, frequent infections, areas of darkened skin, blurred vision",Diabetes Type 2
"slow-healing sores, numbness or tingling in the hands or feet, blurred vision",Diabetes Type 2
"sweating, anemia, vomiting, diarrhea, nausea",Malaria
areas of darkened skin,Diabetes Type 2
"muscle ache, sweating, loss of appetite, abdominal pain, weight loss, headache, fatigue, weakness",Typhoid
"areas of darkened skin, increased thirst, slow-healing sores, increased hunger, fatigue, frequent urination",Diabetes Type 2
"severe headache, pain behind eyes, nausea, severe joint and muscle pain, mild bleeding, vomiting, sudden high fever, fatigue, skin rash",Dengue
"chest pain, cold hands and feet, fatigue, weakness, headache, irregular heartbeats, shortness of breath, dizziness or lightheadedness",Anemia
"shortness of breath, fatigue, cold hands and feet, headache, irregular heartbeats, weakness, dizziness or lightheadedness, pale or yellowish skin",Anemia
"fatigue, areas of darkened skin",Diabetes Type 2
"areas of darkened skin, increased hunger, numbness or tingling in the hands or feet",Diabetes Type 2
"pain behind eyes, fatigue, sudden high fever, severe headache, mild bleeding, severe joint and muscle pain, nausea",Dengue
"sudden high fever, mild bleeding, severe joint and muscle pain, severe headache, vomiting, fatigue, skin rash, pain behind eyes, nausea",Dengue
"chills, headache, body ache, loss of appetite, weakness, fatigue, measured high fever",Viral Fever
"vomiting, anemia, sweating, muscle pain, abdominal pain, nausea, fever with shaking chills, diarrhea",Malaria
impaired memory,Hypothyroidism
"slow-healing sores, frequent urination, increased thirst, numbness or tingling in the hands or feet, frequent infections, fatigue, unintended weight loss",Diabetes Type 2
"mild bleeding, severe joint and muscle pain",Dengue
"frequent urination, increased hunger, increased thirst, numbness or tingling in the hands or feet, unintended weight loss, blurred vision, slow-healing sores, areas of darkened skin",Diabetes Type 2
"headache, irregular heartbeats, cold hands and feet, fatigue, pale or yellowish skin, chest pain, shortness of breath, dizziness or lightheadedness",Anemia
muscle ache,Typhoid
slow-healing sores,Diabetes Type 2
"increased sensitivity to cold, elevated blood cholesterol",Hypothyroidism
"unintended weight loss, increased hunger, numbness or tingling in the hands or feet, blurred vision, frequent urination, increased thirst, frequent infections, slow-healing sores, areas of darkened skin",Diabetes Type 2
"congestion, slight body aches, sore throat, mild headache, malaise, low-grade fever",Common Cold
"mild bleeding, sudden high fever, pain behind eyes, vomiting",Dengue
"congestion, sneezing, runny or stuffy nose, mild headache, malaise, slight body aches, sore throat, low-grade fever, cough",Common Cold
rash,Typhoid
"diarrhea or constipation, weight loss, loss of appetite",Typhoid
"numbness or tingling in the hands or feet, areas of darkened skin, increased hunger, frequent urination, fatigue, frequent infections",Diabetes Type 2
"heavy or irregular menstrual periods, pain, stiffness or swelling in your joints, thinning hair, muscle aches, fatigue, tenderness and stiffness, dry skin, depression, weight gain, muscle weakness, constipation, puffy face, slowed heart rate",Hypothyroidism
"blurred vision, frequent urination, slow-healing sores, increased thirst, unintended weight loss, frequent infections, fatigue, increased hunger, areas of darkened skin, numbness or tingling in the hands or feet",Diabetes Type 2
"increased thirst, unintended weight loss, frequent urination, frequent infections, increased hunger, fatigue, areas of darkened skin, slow-healing sores",Diabetes Type 2
dizziness or lightheadedness,Anemia
"dizziness or lightheadedness, headache, weakness, irregular heartbeats, chest pain, fatigue",Anemia
"dizziness or lightheadedness, weakness, irregular heartbeats, chest pain, shortness of breath",Anemia
"malaise, congestion, low-grade fever, mild headache, cough, sneezing, sore throat, runny or stuffy nose, slight body aches",Common Cold
"dry cough, fatigue, abdominal pain, prolonged fever, diarrhea or constipation, rash",Typhoid
"elevated blood cholesterol, fatigue, thinning hair, slowed heart rate, muscle aches, pain, stiffness or swelling in your joints, hoarseness, impaired memory, constipation, weight gain, heavy or irregular menstrual periods, puffy face, tenderness and stiffness, dry skin, increased sensitivity to cold",Hypothyroidism
"areas of darkened skin, frequent infections, slow-healing sores",Diabetes Type 2
"thinning hair, muscle aches, muscle weakness, weight gain, heavy or irregular menstrual periods, fatigue, hoarseness",Hypothyroidism
"numbness or tingling in the hands or feet, fatigue, frequent urination, slow-healing sores, areas of darkened skin, increased hunger",Diabetes Type 2
"chest pain, irregular heartbeats, shortness of breath",Anemia
"pain, stiffness or swelling in your joints, tenderness and stiffness, slowed heart rate, thinning hair, constipation, hoarseness, fatigue, increased sensitivity to cold, dry skin, muscle aches, weight gain, depression, heavy or irregular menstrual periods, muscle weakness, puffy face, elevated blood cholesterol",Hypothyroidism
"nausea, pain behind eyes, vomiting, skin rash, fatigue",Dengue
"anemia, fever with shaking chills, sweating",Malaria
"fatigue, frequent urination",Diabetes Type 2
"runny or stuffy nose, congestion, mild headache, sore throat, cough, malaise",Common Cold
"headache, pale or yellowish skin, irregular heartbeats, fatigue, dizziness or lightheadedness, shortness of breath, cold hands and feet",Anemia
"fatigue, measured high fever, loss of appetite, chills, body ache, weakness",Viral Fever
abdominal pain,Malaria
"slowed heart rate, muscle weakness, dry skin, muscle aches, thinning hair, pain, stiffness or swelling in your joints, tenderness and stiffness, impaired memory, fatigue, constipation, hoarseness, depression",Hypothyroidism
"weakness, rash",Typhoid
blurred vision,Diabetes Type 2
"fever with shaking chills, sweating, vomiting, nausea, diarrhea, anemia",Malaria
"skin rash, nausea, vomiting, pain behind eyes, severe joint and muscle pain, sudden high fever, severe headache, fatigue",Dengue
"sweating, anemia, diarrhea, nausea, muscle pain, vomiting, headache, abdominal pain, fever with shaking chills",Malaria
"increased hunger, areas of darkened skin, fatigue, frequent urination, frequent infections, numbness or tingling in the hands or feet, slow-healing sores, increased thirst",Diabetes Type 2
malaise,Common Cold
"slowed heart rate, muscle aches, depression, hoarseness, muscle weakness, fatigue, increased sensitivity to cold, impaired memory, dry skin, constipation, tenderness and stiffness, thinning hair, pain, stiffness or swelling in your joints, elevated blood cholesterol, puffy face, heavy or irregular menstrual periods",Hypothyroidism
"irregular heartbeats, headache, chest pain, dizziness or lightheadedness, fatigue",Anemia
"muscle weakness, muscle aches, thinning hair, weight gain, elevated blood cholesterol, slowed heart rate, constipation, heavy or irregular menstrual periods, puffy face, tenderness and stiffness",Hypothyroidism
severe joint and muscle pain,Dengue
"vomiting, sweating, headache, muscle pain, fever with shaking chills",Malaria
"skin rash, severe headache, nausea, sudden high fever, pain behind eyes, severe joint and muscle pain, mild bleeding, fatigue, vomiting",Dengue
"chills, measured high fever, body ache, loss of appetite, fatigue",Viral Fever
slight body aches,Common Cold
"sweating, dry cough, prolonged fever, headache, weakness, loss of appetite, weight loss, muscle ache, abdominal pain",Typhoid
"anemia, diarrhea, headache, fever with shaking chills, vomiting, abdominal pain, nausea, sweating",Malaria
"dizziness or lightheadedness, fatigue, shortness of breath, weakness, pale or yellowish skin",Anemia
"muscle ache, fatigue, dry cough, prolonged fever, headache, diarrhea or constipation, abdominal pain, sweating, rash, loss of appetite, weight loss, weakness",Typhoid
"muscle weakness, weight gain, dry skin, thinning hair, fatigue, elevated blood cholesterol, depression",Hypothyroidism
fatigue,Typhoid
"frequent infections, numbness or tingling in the hands or feet, frequent urination, blurred vision, increased hunger",Diabetes Type 2
"sore throat, runny or stuffy nose, cough, mild headache",Common Cold
abdominal pain,Malaria
"fatigue, unintended weight loss, slow-healing sores, numbness or tingling in the hands or feet, frequent urination, increased hunger, areas of darkened skin, frequent infections, blurred vision",Diabetes Type 2
loss of appetite,Typhoid
"cough, runny or stuffy nose, sneezing, mild headache, low-grade fever",Common Cold
"dry cough, weight loss, diarrhea or constipation, abdominal pain, prolonged fever, weakness, muscle ache, rash, loss of appetite, fatigue, headache",Typhoid
"skin rash, mild bleeding, vomiting, pain behind eyes, severe joint and muscle pain, nausea, sudden high fever",Dengue
"mild headache, cough, runny or stuffy nose, low-grade fever, sore throat, malaise, sneezing, congestion",Common Cold
"slight body aches, congestion, cough",Common Cold
"prolonged fever, weight loss",Typhoid
"chest pain, cold hands and feet, pale or yellowish skin",Anemia
"pale or yellowish skin, cold hands and feet, shortness of breath",Anemia
"dry skin, constipation, depression, fatigue, weight gain, elevated blood cholesterol, muscle aches, thinning hair",Hypothyroidism
"headache, weakness, loss of appetite",Viral Fever
"pain behind eyes, nausea, vomiting",Dengue
"mild headache, slight body aches, runny or stuffy nose, cough, congestion, sneezing, low-grade fever",Common Cold
"sweating, weakness, rash, dry cough, muscle ache",Typhoid
"heavy or irregular menstrual periods, impaired memory, constipation, fatigue",Hypothyroidism
"mild headache, sneezing, cough",Common Cold
"congestion, runny or stuffy nose",Common Cold
"vomiting, skin rash, severe joint and muscle pain",Dengue
"shortness of breath, weakness, headache",Anemia
"rash, diarrhea or constipation, sweating, fatigue, dry cough, weakness, headache, prolonged fever, weight loss, loss of appetite",Typhoid
weakness,Anemia
"fatigue, weakness, shortness of breath",Anemia
"body ache, headache, fatigue, measured high fever, chills",Viral Fever
"dry skin, pain, stiffness or swelling in your joints, thinning hair, increased sensitivity to cold, impaired memory, weight gain, heavy or irregular menstrual periods, slowed heart rate, constipation, depression, hoarseness",Hypothyroidism
"nausea, pain behind eyes, fatigue, mild bleeding, severe headache, vomiting",Dengue
"pain behind eyes, severe joint and muscle pain, fatigue, vomiting, sudden high fever, mild bleeding, severe headache",Dengue
"fatigue, severe joint and muscle pain, skin rash, pain behind eyes, severe headache, sudden high fever, vomiting, mild bleeding, nausea",Dengue
"fatigue, weakness, irregular heartbeats, shortness of breath, dizziness or lightheadedness",Anemia
"pain behind eyes, mild bleeding",Dengue
"fatigue, weakness, chills",Viral Fever
"sweating, fever with shaking chills, muscle pain, vomiting",Malaria
"measured high fever, chills, weakness, body ache, loss of appetite",Viral Fever
dry skin,Hypothyroidism
"muscle aches, constipation, fatigue, pain, stiffness or swelling in your joints, impaired memory, dry skin, hoarseness, slowed heart rate, increased sensitivity to cold, heavy or irregular menstrual periods, thinning hair, muscle weakness, elevated blood cholesterol, weight gain, tenderness and stiffness, depression, puffy face",Hypothyroidism
blurred vision,Diabetes Type 2
"cough, congestion, slight body aches, sore throat, malaise, mild headache, runny or stuffy nose, low-grade fever, sneezing",Common Cold
"fatigue, sudden high fever, nausea, vomiting, severe joint and muscle pain, skin rash, mild bleeding, pain behind eyes",Dengue
"fatigue, muscle ache, diarrhea or constipation, sweating, prolonged fever, rash, headache, loss of appetite, weakness",Typhoid
"slow-healing sores, unintended weight loss, numbness or tingling in the hands or feet, frequent urination, fatigue, areas of darkened skin",Diabetes Type 2
"slow-healing sores, frequent infections, areas of darkened skin, unintended weight loss, numbness or tingling in the hands or feet, blurred vision, increased hunger, increased thirst",Diabetes Type 2
"abdominal pain, muscle ache",Typhoid
"slowed heart rate, thinning hair, weight gain, heavy or irregular menstrual periods, constipation, depression, muscle weakness",Hypothyroidism
"shortness of breath, cold hands and feet, headache, pale or yellowish skin, fatigue, dizziness or lightheadedness, chest pain, irregular heartbeats, weakness",Anemia
"nausea, abdominal pain, diarrhea, muscle pain",Malaria
"runny or stuffy nose, sore throat, congestion, sneezing, low-grade fever, slight body aches, cough, malaise, mild headache",Common Cold
"diarrhea, anemia, fever with shaking chills, headache, sweating, nausea, muscle pain, vomiting",Malaria
"congestion, low-grade fever",Common Cold
"sudden high fever, severe joint and muscle pain, skin rash",Dengue
"weakness, prolonged fever, headache, weight loss, diarrhea or constipation, muscle ache, abdominal pain, dry cough, loss of appetite",Typhoid
"prolonged fever, dry cough, muscle ache, headache, diarrhea or constipation, loss of appetite, weight loss, fatigue, rash, weakness, sweating",Typhoid
"weakness, chills, measured high fever, fatigue",Viral Fever
"elevated blood cholesterol, constipation, fatigue, tenderness and stiffness, muscle aches, heavy or irregular menstrual periods, dry skin, slowed heart rate, impaired memory, thinning hair",Hypothyroidism
"irregular heartbeats, chest pain, headache",Anemia
"headache, anemia",Malaria
"low-grade fever, mild headache, runny or stuffy nose, cough, sore throat, congestion",Common Cold
